Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W),Detectivity (Jones)
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.279207921,0.002,4.74756,1.23E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.316831683,0.002,5.81709,1.34E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.36039604,0.002,7.12756,1.46E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.4,0.002,8.73326,1.55E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.441584158,0.002,8.73326,1.62E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.481188119,0.002,10,1.69E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.520792079,0.002,10.7007,1.76E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.558415842,0.002,13.1113,1.84E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.598019802,0.002,13.1113,1.91E+13
206,4,1.85,0.5,0.5,74.15,18.89,Au,5.1,Lateral,0.637623762,0.002,14.03,1.95E+13
206,2,2.17,0.5,0.5,74.15,18.89,Au,5.1,FET,10,3.50E-04,5,3.50E+11
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,4.96E-07,0.000242,58862847839
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,9.75E-07,0.000144,33404849835
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,1.01E-05,0.000007,1930697729
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,8.19E-05,0.000001,408423865.3
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,5.09E-04,1.21E-07,35938136.64
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,7.98E-04,9.63E-08,27825594.02
196,1,2.92,0.49,0.5,74.15,18.89,Au,5.1,Lateral,5,1.03E-03,1.03E-07,29393680.43
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,1.09E-06,0.00314,2.06E+11
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0,0.00261,1.72E+11
